,SMILES,logLD50,sigma,n_obs,SMILES_CANON,scaffold
12,Br.COC1=CC=C2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3C)C2=C1,2.383815365980431,0.001,1,Br.COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,<rdkit.Chem.rdchem.Mol object at 0x7f64da082ff0>
13,Br.CSC1=NC(N)=C2C(C)=COC2=N1,3.6989700043360187,1.001,1,Br.CSc1nc(N)c2c(C)coc2n1,<rdkit.Chem.rdchem.Mol object at 0x7f64da082c70>
15,Br.[H][C@@]12CC3=C(C=C(O)C=C3)[C@@](C)(C1)CCN(C)C2,2.505149978319906,0.001,1,Br.CN1CC[C@]2(C)C[C@@H](Cc3ccc(O)cc32)C1,<rdkit.Chem.rdchem.Mol object at 0x7f64da082f10>
16,Br.[H][C@]12C[C@@H](O)C=C3CCN(C)CC4=C([C@@H]13)C(O2)=C(OC)C=C4,1.8750612633917,0.001,1,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C(CCN(C)C2)[C@@H]31,<rdkit.Chem.rdchem.Mol object at 0x7f64da083370>
18,BrC(Br)(Br)C=O,2.0,0.001,1,O=CC(Br)(Br)Br,<rdkit.Chem.rdchem.Mol object at 0x7f64da083220>
20,BrC(Br)Br,3.0595634179012676,0.07144455949226323,3,BrC(Br)Br,<rdkit.Chem.rdchem.Mol object at 0x7f64da0836f0>
21,BrC(Br)C#N,2.473336643135095,0.08517055877056257,2,N#CC(Br)Br,<rdkit.Chem.rdchem.Mol object at 0x7f64da082ea0>
22,BrC(Br)C(Br)Br,3.0791812460476247,0.001,1,BrC(Br)C(Br)Br,<rdkit.Chem.rdchem.Mol object at 0x7f64da2a2ff0>
24,BrC1=C(Br)C(Br)=C(CCC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br,3.6989700043360187,1.001,1,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64da2a3220>
25,BrC1=C(Br)C(Br)=C(OCCOC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br,4.186956335465412,1.001,1,Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6880>
26,BrC1=C(Br)N=CN1,2.6989700043360187,1.001,1,Brc1nc[nH]c1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6ff0>
27,BrC1=C2C(=O)N(CCN3C(=O)C4=C(C3=O)C(Br)=C(Br)C(Br)=C4Br)C(=O)C2=C(Br)C(Br)=C1Br,3.8750612633917,1.001,1,O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7140>
28,BrC1=CC(=CC=C1)C1CC(=O)NC1=O,3.2430380486862944,0.001,1,O=C1CC(c2cccc(Br)c2)C(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7a70>
29,BrC1=CC(Br)=C(OC2=NC(OC3=C(Br)C=C(Br)C=C3Br)=NC(OC3=C(Br)C=C(Br)C=C3Br)=N2)C(Br)=C1,3.3010299956639813,1.001,1,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc3c(Br)cc(Br)cc3Br)n2)c(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f70d0>
30,BrC1=CC2=C(C=C1)C(=O)C(=O)C=C2,3.591064607026499,0.001,1,O=C1C=Cc2cc(Br)ccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7060>
31,BrC1=CC2=C(C=C1)C(=O)C(Br)(C2=O)C1=CC2=CC=CC=C2C=C1,3.4771212547196626,1.001,1,O=C1c2ccc(Br)cc2C(=O)C1(Br)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7220>
32,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,3.290034611362518,0.001,1,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f71b0>
34,BrC1=CC2=C(OC(=O)N2)C=C1,3.0211892990699383,0.001,1,O=c1[nH]c2cc(Br)ccc2o1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7300>
35,BrC1=CC2=C(OC3=CC(Br)=C(Br)C=C3O2)C=C1Br,-1.0,0.001,1,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f69d0>
36,BrC1=CC=C(Br)C2=C1C(=O)C1=CC=C3C4=C(C=CC=C4)C(=O)C4=CC=C2C1=C34,3.552668216112193,0.001,1,O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1c(Br)ccc(Br)c1C3=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7ae0>
38,BrC1=CC=C(C=C1)N=C=S,2.6020599913279625,0.001,1,S=C=Nc1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7bc0>
39,BrC1=CC=C(CNC2=NCCS2)C=C1,1.9030899869919435,1.001,1,Brc1ccc(CNC2=NCCS2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7ca0>
40,BrC1=CC=C(NC=O)C=C1,3.0492180226701815,0.001,1,O=CNc1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7d10>
42,BrC1=CC=CC(C=O)=C1,3.0515383905153275,0.001,1,O=Cc1cccc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6f80>
43,BrC1=CC=CC2=C1C(=O)C(C2=O)C1=CC=CC=C1,2.8721562727482928,0.001,2,O=C1c2cccc(Br)c2C(=O)C1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6f10>
44,BrC1=CC=CC=C1,3.377124042346456,0.001,1,Brc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6c00>
45,BrC1=CN=C2NC=CC2=C1,3.3010299956639813,1.001,1,Brc1cnc2[nH]ccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7370>
46,BrC1=NC(Br)=C(Br)N1,1.5314789170422551,0.001,1,Brc1nc(Br)c(Br)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7450>
47,BrC1C(Br)C2CC1C1C2C(=O)N(CCN2C(=O)C3C4CC(C(Br)C4Br)C3C2=O)C1=O,4.0,1.001,1,O=C1C2C3CC(C(Br)C3Br)C2C(=O)N1CCN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f74c0>
49,BrC1CCS(=O)(=O)C1,2.3324384599156054,0.001,1,O=S1(=O)CCC(Br)C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f75a0>
51,BrC=CBr,1.792391689498254,0.001,1,BrC=CBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7530>
52,BrC=CC1=CC=CC=C1,3.0969100130080562,0.001,1,BrC=Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f76f0>
53,BrCBr,2.03342375548695,0.001,1,BrCBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7610>
54,BrCC(Br)C1CCC(Br)C(Br)C1,3.507855871695831,0.001,1,BrCC(Br)C1CCC(Br)C(Br)C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7760>
55,BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,3.0043213737826426,0.362769640240403,3,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f77d0>
57,BrCC1=CC=CC(OC2=CC=CC=C2)=C1,3.3666097103924297,0.001,1,BrCc1cccc(Oc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f78b0>
59,BrCC=C,2.190105620855803,0.1119243748081783,2,C=CCBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7990>
60,BrCC=CCBr,1.833726476444977,0.0423347869467231,2,BrCC=CCBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7a00>
62,BrCCC1=CC=CC=C1,2.909020854211156,0.001,1,BrCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6810>
63,BrCCCCCCBr,3.3010299956639813,0.001,1,BrCCCCCCBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6ce0>
64,BrN1C(=O)CCC1=O,3.3010299956639813,1.001,1,O=C1CCC(=O)N1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6d50>
66,C#CC(=NOCC1OCCO1)C1=CC=CC=C1,3.6989700043360187,0.001,1,C#CC(=NOCC1OCCO1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6e30>
67,C#CCCCC#C,3.361727836017593,0.001,1,C#CCCCC#C,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6ea0>
72,C(C1OCCO1)C1=CC=CC=C1,3.342422680822206,0.001,1,c1ccc(CC2OCCO2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64dfc6ec70>
73,C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,3.8129133566428557,1.001,1,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f68f0>
74,C(CC1=CC=C(C=C1)C1=CC=CC=C1)OC1=C2C=CC=CC2=NC=N1,3.060697840353612,0.001,1,c1ccc(-c2ccc(CCOc3ncnc4ccccc34)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6960>
75,C(CC1=CC=CC=C1)C1=CC=CC=C1,3.6549462265843444,0.001,1,c1ccc(CCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6b90>
76,C(CCOCC1CO1)COCC1CO1,3.0546130545568877,0.001,1,C(CCOCC1CO1)COCC1CO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5230>
78,C(CN1CCOCC1)C(CCN1CCOCC1)C1=CC=CC2=CC=CC=C12,2.850033257689769,0.001,1,c1ccc2c(C(CCN3CCOCC3)CCN3CCOCC3)cccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5d20>
79,C(CNC1=NNC2=CC=CC=C12)CN1CCOCC1,2.959994838328416,0.001,1,c1ccc2c(NCCCN3CCOCC3)n[nH]c2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5c40>
83,C(N1C=CN=C1)C1(OCCCO1)C1=CC2=CC=CC=C2O1,3.0,1.001,1,c1ccc2oc(C3(Cn4ccnc4)OCCCO3)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f60a0>
84,C(N1C=CN=C1)C1(OCCO1)C1=CC2=CC=CC=C2O1,3.0,1.001,1,c1ccc2oc(C3(Cn4ccnc4)OCCO3)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f61f0>
85,C(N1C=NC=N1)C1(OCCO1)C1=CC2=CC=CC=C2O1,3.0,1.001,1,c1ccc2oc(C3(Cn4cncn4)OCCO3)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6110>
86,C(N1C=NC=N1)C1=CC=CC=C1,2.8573324964312685,0.001,1,c1ccc(Cn2cncn2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6180>
87,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,3.2206511433465836,0.1077077910397467,2,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f62d0>
90,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,3.214843848047698,0.001,1,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6260>
91,C(NC1=NC=NC2=C1NCN2)C1=CC=CC=C1,3.322219294733919,0.001,1,c1ccc(CNc2ncnc3c2NCN3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6420>
92,C(NC1=NCCS1)C1CCCCC1,1.6989700043360187,0.001,1,C1CCC(CNC2=NCCS2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6490>
93,C(NC1=NN=CS1)NC1=NN=CS1,2.4149733479708178,0.001,1,c1nnc(NCNc2nncs2)s1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6500>
95,C(OC1=CC2=CC=CC=C2C=C1)C1=CC=CC=C1,3.6989700043360187,1.001,1,c1ccc(COc2ccc3ccccc3c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f65e0>
98,C(OC1=CC=CC=C1)C1CO1,3.5854607295085006,0.10137357729767094,3,c1ccc(OCC2CO2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5ee0>
99,C(OC1=NC(OCC2CO2)=NC(OCC2CO2)=N1)C1CO1,3.225309281725863,0.001,1,C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5150>
101,C(OCC1CO1)C1CO1,2.68039134493664,0.02817883116129638,2,C(OCC1CO1)C1CO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5e70>
103,C(SCC1=CC=CC=C1)C1=CC=CC=C1,3.3010299956639813,1.001,1,c1ccc(CSCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6650>
104,C(SCC1CO1)C1CO1,1.505149978319906,0.001,1,C1OC1CSCC1CO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f66c0>
105,C.C.C.C.C.FC(F)(F)C(=O)C(F)(F)Cl.FC(F)(F)C(=O)C(F)(F)Cl,1.9294189257142926,0.001,1,C.C.C.C.C.O=C(C(F)(F)F)C(F)(F)Cl.O=C(C(F)(F)F)C(F)(F)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f6730>
106,C1=CC(=C(C=C1O)CNC(CN)N)CN,3.361727836017593,0.001,1,NCc1ccc(O)cc1CNC(N)CN,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f67a0>
107,C1=CC(=C(C=C1O)S(=O)(=O)[O-])O.[Na+],3.505149978319906,1.001,1,O=S(=O)([O-])c1cc(O)ccc1O.[Na+],<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5690>
109,C1=CC2=C(C=C1)N=CC=C2,2.5912929127286466,0.0724649189529275,2,c1ccc2ncccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5770>
110,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,3.4313637641589874,0.001,1,c1cc2ccc3cccc4ccc(c1)c2c34,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5bd0>
111,C1=CC2=CC=CC=CC2=C1,3.6020599913279625,1.001,1,c1ccc2cccc-2cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5700>
113,C1=CC=C(C=C1)C1=CC=CC=C1,3.380211241711606,0.4686443460924526,5,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5460>
114,C1=CC=C(C=C1)C1=CC=CC=C1C1=CC=CC=C1,3.278753600952829,0.001,1,c1ccc(-c2ccccc2-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f54d0>
115,C1=CC=C(C=C1)C2=CC(=C(C=C2)Br)Br ,3.7657394585211277,0.9657094628571464,2,Brc1ccc(-c2ccccc2)cc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f57e0>
116,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,3.505149978319906,0.8095735675163721,3,c1ccc(N(c2ccccc2)c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5850>
117,C1=CC=C(C=C1)N=NC1=CC=CC=C1,3.0,0.001,1,c1ccc(N=Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f58c0>
118,C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,2.845098040014257,0.001,1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f5930>
121,C1=CC=C(N=C1)C1=CC=CC=N1,2.204119982655925,0.2051199826559248,2,c1ccc(-c2ccccn2)nc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7df0>
122,C1=CC=NC=C1,3.1760912590556813,0.5327156502661291,5,c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7ed0>
123,C1=CN(C(=O)N1)C2C(C(C(O2)COP(=O)[O-])O)O.[Na+] ,4.079181246047625,0.001,1,O=c1[nH]ccn1C1OC(CO[PH](=O)[O-])C(O)C1O.[Na+],<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7d80>
124,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,3.1652443261253107,0.001,1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7f40>
125,C1=CN(N=C1)C1=CC(=NC=N1)N1C=CC=N1,3.4771212547196626,1.001,1,c1cnn(-c2cc(-n3cccn3)ncn2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d92f7e60>
126,C1=NC2=CC=CC=C2N1P(N1C=NC2=CC=CC=C12)N1C=NC2=CC=CC=C12,3.462397997898956,0.001,1,c1ccc2c(c1)ncn2P(n1cnc2ccccc21)n1cnc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8040>
127,C1=NN(C=N1)C1=CC=CC=C1,2.82865989653532,0.001,1,c1ccc(-n2cncn2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd80b0>
128,C1=NN=CN1C1=CC=CC=C1,2.1271047983648077,0.001,1,c1ccc(-n2cnnc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8120>
129,C1C(C(C(O)C(C1O)O)O)O[Fe]O,3.265996370495079,1.001,1,[OH][Fe][O]C1CC(O)C(O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8190>
130,C1C(N(N=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,3.9030899869919438,1.001,1,c1ccc(C2=NN(c3ccccc3)C(c3ccccc3)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8200>
131,C1C2=CC=CC=C2NC2=C1C=CC=C2,3.330413773349191,0.001,1,c1ccc2c(c1)Cc1ccccc1N2,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8270>
132,C1C2CC3CC1CC(C2)C3,4.0,1.001,1,C1C2CC3CC1CC(C2)C3,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd82e0>
134,C1C=CC=C1,2.0530784434834195,0.001,1,C1=CCC=C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd83c0>
135,C1C=CC=CC=C1,1.7558748556724915,0.001,1,C1=CC=CCC=C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8430>
136,C1CC(CC=C1)C1=CC=CC=C1,3.3010299956639813,1.001,1,C1=CCC(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd84a0>
137,C1CC(CC=C1)C1OCC2(CCC=CC2)CO1,3.7151673578484576,0.001,1,C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8510>
138,C1CC1NC1=C2N=CN(C3CC3)C2=NC=N1,2.113943352306837,0.001,1,c1nc(NC2CC2)c2ncn(C3CC3)c2n1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8580>
139,C1CC2=CC=CC=C2NC2=CC=CC=C12,3.6989700043360187,1.001,1,c1ccc2c(c1)CCc1ccccc1N2,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd85f0>
140,C1CC2CC1C1CC=CC21,2.8260748027008264,0.001,1,C1=CC2C3CCC(C3)C2C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8660>
141,C1CC=CCCC=CCCC=C1,3.306073919163244,0.661681579406448,4,C1=CCCC=CCCC=CCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd86d0>
142,C1CCC(CC1)N(SC1=NC2=C(S1)C=CC=C2)C1CCCCC1,3.4796399750654694,1.0673633827166986,4,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8740>
143,C1CCC(CC1)N=CC1=CC=CC=C1,3.4885507165004443,0.001,1,C(=NC1CCCCC1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd87b0>
144,C1CCC(CC1)NC1=CC=C(NC2=CC=CC=C2)C=C1,3.3010299956639813,1.001,1,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8820>
145,C1CCC(CC1)NC1CCCCC1,2.571708831808688,0.001,1,C1CCC(NC2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8890>
146,C1CCC(CC1)NC1CCCCC1.CC(C)(C)[C@H](NC(=O)OCC1=CC=CC=C1)C(O)=O,2.889075625191822,1.4129543704721592,2,C1CCC(NC2CCCCC2)CC1.CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8900>
147,C1CCC(CC1)NSC1=NC2=C(S1)C=CC=C2,3.724275869600789,0.001,1,c1ccc2sc(SNC3CCCCC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8970>
148,C1CCC(NC1)C1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,2.4771212547196626,0.001,1,c1ccc(C2(c3ccccc3)COC(c3ccccc3)(C3CCCCN3)OC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd89e0>
149,C1CCC2=C(C1)NC1=CC=CC=C21,3.423245873936808,0.001,1,c1ccc2c3c([nH]c2c1)CCCC3,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8a50>
151,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2.24551266781415,0.001,1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8b30>
152,C1CCC=CC1,3.289142835932333,0.806856362336894,3,C1=CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8ba0>
153,C1CCCC1,3.8779374278362457,0.679967423500227,2,C1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8c10>
154,C1CCCCC1,3.9014723368612034,0.7035023325251847,2,C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8c80>
155,C1CCCNCC1,1.3159703454569178,0.001,1,C1CCCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8cf0>
156,C1CCN2N=NN=C2CC1,2.146128035678238,0.001,1,C1CCc2nnnn2CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8d60>
157,C1CCNC1,2.4771212547196626,0.001,1,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8dd0>
159,C1CCOC1,3.2174839442139063,0.001,1,C1CCOC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8eb0>
160,C1CN(CCN1)C(C1=CC=CC=C1)C1=CC=CC=C1,2.6989700043360187,0.001,1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8f20>
161,C1CN(CCN1)C1=CC=CC=C1,2.322219294733919,0.001,1,c1ccc(N2CCNCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd8f90>
162,C1CN(CCO1)C(N1CCOCC1)C1=CC=CC=C1,3.7041505168397992,0.001,1,c1ccc(C(N2CCOCC2)N2CCOCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd9000>
163,C1CN(CCO1)C1=CC=CC=C1,2.9684829485539352,0.001,1,c1ccc(N2CCOCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd9070>
164,C1CN(CCO1)SSN1CCOCC1,3.6908282412928934,0.0583597857133068,2,C1CN(SSN2CCOCC2)CCO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd90e0>
165,C1CN(CCO1)SSSSN1CCOCC1,3.681241237375587,0.001,1,C1CN(SSSSN2CCOCC2)CCO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9cd9150>
